symbol,date,open,high,low,close,volume,adjusted
AAPL,2019-01-02,38.72249984741211,39.712501525878906,38.557498931884766,39.47999954223633,148158800,37.845035552978516
AAPL,2019-01-03,35.994998931884766,36.43000030517578,35.5,35.54750061035156,365248800,34.07539749145508
AAPL,2019-01-04,36.13249969482422,37.13750076293945,35.95000076293945,37.064998626708984,234428400,35.53004455566406
AAPL,2019-01-07,37.17499923706055,37.20750045776367,36.474998474121094,36.98249816894531,219111200,35.450958251953125
AAPL,2019-01-08,37.38999938964844,37.95500183105469,37.130001068115234,37.6875,164101200,36.12677001953125
AAPL,2019-01-09,37.8224983215332,38.63249969482422,37.407501220703125,38.32749938964844,180396400,36.740264892578125
AAPL,2019-01-10,38.125,38.49250030517578,37.71500015258789,38.45000076293945,143122800,36.857696533203125
AAPL,2019-01-11,38.220001220703125,38.42499923706055,37.877498626708984,38.0724983215332,108092800,36.49583053588867
AAPL,2019-01-14,37.712501525878906,37.817501068115234,37.30500030517578,37.5,129756800,35.9470329284668
AAPL,2019-01-15,37.567501068115234,38.34749984741211,37.51250076293945,38.26750183105469,114843600,36.68275451660156
AAPL,2019-01-16,38.27000045776367,38.970001220703125,38.25,38.73500061035156,122278800,37.130897521972656
AAPL,2019-01-17,38.54999923706055,39.415000915527344,38.314998626708984,38.96500015258789,119284800,37.35136795043945
AAPL,2019-01-18,39.375,39.470001220703125,38.994998931884766,39.20500183105469,135004000,37.58142852783203
AAPL,2019-01-22,39.102500915527344,39.182498931884766,38.154998779296875,38.32500076293945,121576000,36.737876892089844
AAPL,2019-01-23,38.537498474121094,38.78499984741211,37.92499923706055,38.47999954223633,92522400,36.88645553588867
AAPL,2019-01-24,38.52750015258789,38.619998931884766,37.935001373291016,38.17499923706055,101766000,36.594085693359375
AAPL,2019-01-25,38.869998931884766,39.532501220703125,38.58000183105469,39.439998626708984,134142000,37.80670166015625
AAPL,2019-01-28,38.9474983215332,39.08250045776367,38.415000915527344,39.07500076293945,104768400,37.456809997558594
AAPL,2019-01-29,39.0625,39.532501220703125,38.52750015258789,38.66999816894531,166348800,37.06858825683594
AAPL,2019-01-30,40.8125,41.537498474121094,40.057498931884766,41.3125,244439200,39.60165023803711
AAPL,2019-01-31,41.52750015258789,42.25,41.13999938964844,41.61000061035156,162958400,39.88683319091797
AAPL,2019-02-01,41.7400016784668,42.244998931884766,41.48249816894531,41.630001068115234,130672400,39.906002044677734
AAPL,2019-02-04,41.852500915527344,42.915000915527344,41.81999969482422,42.8125,125982000,41.03953170776367
AAPL,2019-02-05,43.21500015258789,43.77000045776367,43.087501525878906,43.54499816894531,144406400,41.741703033447266
AAPL,2019-02-06,43.662498474121094,43.89250183105469,43.212501525878906,43.560001373291016,112958400,41.75608444213867
AAPL,2019-02-07,43.099998474121094,43.48500061035156,42.584999084472656,42.73500061035156,126966800,40.965248107910156
AAPL,2019-02-08,42.247501373291016,42.665000915527344,42.10499954223633,42.602500915527344,95280000,41.01337432861328
AAPL,2019-02-11,42.76250076293945,42.8025016784668,42.3125,42.35749816894531,83973600,40.77751541137695
AAPL,2019-02-12,42.525001525878906,42.75,42.42499923706055,42.72249984741211,89134000,41.1288948059082
AAPL,2019-02-13,42.84749984741211,43.119998931884766,42.47999954223633,42.54499816894531,89960800,40.95801544189453
AAPL,2019-02-14,42.4275016784668,42.814998626708984,42.345001220703125,42.70000076293945,87342800,41.107242584228516
AAPL,2019-02-15,42.8125,42.92499923706055,42.4375,42.60499954223633,98507200,41.01578903198242
AAPL,2019-02-19,42.4275016784668,42.86000061035156,42.372501373291016,42.73249816894531,75891200,41.138526916503906
AAPL,2019-02-20,42.79750061035156,43.33000183105469,42.747501373291016,43.00749969482422,104457600,41.403263092041016
AAPL,2019-02-21,42.95000076293945,43.092498779296875,42.57500076293945,42.76499938964844,68998800,41.1698112487793
AAPL,2019-02-22,42.89500045776367,43.25,42.845001220703125,43.24250030517578,75652800,41.62950897216797
